run_agent.py	source	manual	AIAgent class — the core synchronous conversation loop (model calls, tool dispatch, budget, interrupts)	Everything talks to a model through this loop; the narrow waist of the whole system	model_tools.py;cli.py;agent/conversation_loop.py;agent/prompt_builder.py
cli.py	source	manual	HermesCLI — interactive CLI orchestrator (prompt_toolkit + Rich), slash commands, session management	The primary human-facing surface; hosts command dispatch and config loading	for shell_commands: ev0_cli/commands.py;ev0_cli/config.py;ev0_cli/main.py;run_agent.py
batch_runner.py	source	manual	Parallel batch task runner driving many AIAgent sessions	Runs offline jobs/campaigns against the same core loop without a live TTY	run_agent.py;tests/run_agent
trajectory_compressor.py	source	manual	Context compression / trajectory compaction service for long conversations	Prevents prompt-cache breakage and context overflow on long sessions; the one allowed mid-conversation context mutation	agent/context_compressor.py;agent/native_compaction.py;agent/conversation_compression.py
utils.py	source	manual	Shared utilities (paths, JSON, file atomics, misc helpers)	Common helpers used repo-wide; keep dependency-free	ev0_constants.py;ev0_logging.py
ev0_bootstrap.py	source	manual	Early-boot module that applies profile override and seeds environment before other imports	Runs before everything so HERMES_HOME / profile routing is correct at import time	ev0_constants.py;ev0_cli/main.py
model_tools.py	source	manual	Tool orchestration hub — discover_builtin_tools, get_tool_definitions, handle_function_call, toolset assembly	Every model tool ships through here per API call; the footprint-ladder choke point	tools/registry.py;toolsets.py;run_agent.py
toolsets.py	source	manual	TOOLSETS dict — named tool bundles + _HERMES_CORE_TOOLS default	Defines which tools each platform/base exposes; the schema-gating wedge	model_tools.py;tools/registry.py
toolset_distributions.py	source	manual	Per-platform toolset enablement matrix + distribution rules	Maps platform -> base toolset with config-gated additions	platforms use: toolsets.py;gateway/platform_registry.py
ev0_state.py	source	manual	SessionDB — the SQLite session store (FTS5 search, project/session records)	Canonical session persistence backing resume/search/desktop; god-file, split across ev0_state_* siblings	ev0_state_schema.py;ev0_state_search.py;ev0_state_common.py;ev0_state_portability.py
ev0_state_schema.py	source	manual	SQLite schema definitions + migrations for the session store	Keeps the DB schema versioned and migratable	ev0_state.py
ev0_state_search.py	source	manual	FTS5 search layer over the session store	Powers /search and session picker; SQLite-side, no external indexer	ev0_state.py
ev0_state_common.py	source	manual	Shared helpers for the session store family (types, paths, common queries)	Avoids circular imports between ev0_state and its satellites	ev0_state.py;ev0_state_portability.py
ev0_state_portability.py	source	manual	Portability/backup layer for session stores (export, import, relocation)	Lets sessions survive profile moves and installs	moves: ev0_state.py;ev0_constants.py
ev0_constants.py	source	manual	get_hermes_home() / display_hermes_home() — profile-aware path resolution	Every state path in the body resolves through here; hardcoding ~/.hermes elsewhere is a known-bug class	ev0_logging.py;ev0_bootstrap.py;tests/ev0_cli/test_profiles.py
ev0_logging.py	source	manual	setup_logging() — agent.log / errors.log / gateway.log (profile-aware)	All logs land per-profile via HERMES_HOME; browse with hermes logs	ev0_constants.py;gateway/run.py
ev0_time.py	source	manual	Time helpers (UTC stamps, duration parsing)	Consistent time handling across scheduler/cron/session code	cron/scheduler.py;ev0_constants.py
mcp_serve.py	source	manual	MCP server mode — expose the agent as an MCP host/server	Lets external MCP clients drive the agent; catalog + client bridging lives in tools/mcp_tool.py	tools/mcp_tool.py;tools/setup_mcp_tool.py
mini_swe_runner.py	source	manual	Minimal SWE-bench-style evaluator harness for the agent	Runs model patch-turns against task instances for offline evals	scripts/run_tests.sh;3v0/tests/
registration_lifecycle.py	source	manual	Lifecycle hooks for registration/licensing flows	Registration/activation side of the product surface	ev0_cli/auth.py;ev0_cli/auth_commands.py
